park_code,park_name,city,state,lat,lng,min_temp,max_temp,humidity,cloudiness,wind_speed,date
foda,Fort Davis National Historic Site,Fort Davis,TX,30.59930381,-103.8961904,72.72,76.82,44,0,3.8,1663264431
fodo,Fort Donelson National Battlefield,Dover,TN,36.49019078,-87.92445695,77.52,79.99,64,1,3,1663264431
fofo,Fort Foote Park,Oxon Hill,MD,38.76901785,-77.02812387,75,81.91,54,20,10.36,1663264432
fofr,Fort Frederica National Monument,St. Simons Island,GA,31.2214699,-81.39452014,82.02,82.44,47,0,13.8,1663264432
fomc,Fort McHenry National Monument and Historic Shrine,Baltimore,MD,39.26395314,-76.58044165,73.04,80.42,50,40,9.22,1663264432
fomr,Fort Monroe National Monument,Fort Monroe,VA,37.01733343,-76.30103195,77,82.44,65,40,13.8,1663264432
fone,Fort Necessity National Battlefield,Farmington,PA,39.81306048,-79.59033344,67.71,72.86,46,70,7.11,1663264433
fopu,Fort Pulaski National Monument,Savannah,GA,32.0308274,-80.93361681,80.01,84.02,59,8,7,1663264433
fost,Fort Stanwix National Monument,Rome,NY,43.21053441,-75.45557626,59.86,64.72,51,9,7,1663264433
fous,Fort Union Trading Post National Historic Site,Williston,ND,48.00075828,-104.0375238,57.49,57.49,47,86,6.31,1663264434
fobu,Fossil Butte National Monument,Kemmerer,WY,41.85635223,-110.7624754,57.79,57.79,44,17,6.98,1663264434
frsp,Fredericksburg & Spotsylvania National Military Park,Fredericksburg,VA,38.29378,-77.46734,77.29,80.83,60,40,11.5,1663264434
frhi,Friendship Hill National Historic Site,Point Marion,PA,39.77543423,-79.92504169,72.48,76.17,50,75,4.61,1663264435
gaar,Gates Of The Arctic National Park & Preserve,Fairbanks,AK,67.75961636,-153.2917758,38.82,38.82,94,100,2.53,1663264435
gewa,George Washington Birthplace National Monument,Colonial Beach,VA,38.19362603,-76.92079458,76.6,81.97,66,14,3,1663264435
gett,Gettysburg National Military Park,Gettysburg,PA,39.81557366,-77.23246758,70.72,78.37,57,3,5.99,1663264436
gicl,Gila Cliff Dwellings National Monument,Mimbres,NM,33.22715258,-108.2706711,73.51,78.85,32,0,9.64,1663264436
glba,Glacier Bay National Park & Preserve,Gustavus,AK,58.80086718,-136.8407579,38.07,38.07,89,67,2.28,1663264436
glac,Glacier National Park,West Glacier,MT,48.68414678,-113.8009306,52.32,52.32,43,88,6.13,1663264436
glca,Glen Canyon National Recreation Area,Page,AZ,36.9357464677,-111.485594268,72.3,73.53,58,1,3,1663264437
goga,Golden Gate National Recreation Area,San Francisco,CA,37.85982543,-122.6007386,60.01,70.14,81,41,4,1663264437
gosp,Golden Spike National Historical Park,"Promontory, Utah",UT,41.61947508,-112.5242653,63.25,65.16,55,99,6.76,1663264437
grca,Grand Canyon National Park,Grand Canyon,AZ,36.0001165336,-112.121516363,61.68,65.98,51,0,10.36,1663264438
para,Grand Canyon-Parashant National Monument,St. George,UT,36.41535465,-113.6682797,69.37,69.37,37,0,10.56,1663264438
grpo,Grand Portage National Monument,Grand Portage,MN,47.99294217,-89.75573031,55.53,55.6,95,100,1.01,1663264438
grte,Grand Teton National Park,Moose,WY,43.81853565,-110.7054666,53.55,63.1,45,59,2.95,1663264439
grko,Grant-Kohrs Ranch National Historic Site,Deer Lodge,MT,46.41358923,-112.7467024,67.78,70.65,39,76,3.33,1663264439
grba,Great Basin National Park,Baker,NV,38.94617378,-114.2579782,51.87,51.87,43,1,7.45,1663264439
greg,Great Egg Harbor River,Estell Manor,NJ,39.3042,-74.6497,72.01,79.32,44,0,9.22,1663264439
grfa,Great Falls Park,McLean,VA,38.98776107,-77.25128326,74.86,81.64,58,11,4,1663264440
grsa,Great Sand Dunes National Park & Preserve,Mosca,CO,37.79256812,-105.5919572,62.92,68.52,38,6,7.87,1663264440
grsm,Great Smoky Mountains National Park,Gatlinburg,TN,35.60116374,-83.50818326,64.99,75.09,41,0,1.72,1663264440
gree,Greenbelt Park,Greenbelt,MD,38.98328267,-76.89722133,74.46,81.48,56,40,10.36,1663264441
gumo,Guadalupe Mountains National Park,Salt Flat,TX,31.92304462,-104.885527,72.21,72.21,38,2,5.95,1663264441
guis,Gulf Islands National Seashore,Gulf Breeze,FL,30.29924926,-87.75064297,84.06,88.05,46,0,9.22,1663264441
hafo,Hagerman Fossil Beds National Monument,Hagerman,ID,42.79074114,-114.9443074,77.31,77.31,40,92,8.19,1663264442
hale,Haleakala National Park,Kula,HI,20.70693015,-156.1591775,52.7,59.58,85,61,7.11,1663264442
hamp,Hampton National Historic Site,Towson,MD,39.4175296,-76.58781182,71.85,79.16,53,0,6.91,1663264442
hafe,Harpers Ferry National Historical Park,Harpers Ferry,WV,39.31865949,-77.74088546,73.06,79.56,66,3,5.01,1663264442
havo,Hawaii Volcanoes National Park,Hawaii National Park,HI,19.3355036,-155.4700257,70.66,70.66,78,44,4.14,1663264443
heho,Herbert Hoover National Historic Site,West Branch,IA,41.66793558,-91.35232139,80.15,82.98,53,92,12.53,1663264443
home,Homestead National Historical Park,Beatrice,NE,40.28802381,-96.83387781,84.29,86.11,32,0,19.57,1663264444
hofu,Hopewell Furnace National Historic Site,Elverson,PA,40.20610637,-75.76766355,67.33,73.72,51,0,3,1663264444
hobe,Horseshoe Bend National Military Park,Daviston,AL,32.97668879,-85.73413589,79.56,84.74,40,0,7.11,1663264444
hosp,Hot Springs National Park,Hot Springs,AR,34.52414366,-93.06332936,79.79,85.77,41,36,3,1663264445
hove,Hovenweep National Monument,Cortez,CO,37.39134092,-109.0047977,67.28,67.28,35,1,7.74,1663264445
iatr,Ice Age National Scenic Trail,Cross Plains,WI,43.9895697794,-89.5612021706,72.68,76.35,61,100,10.89,1663264445
indu,Indiana Dunes National Park,Porter,IN,41.63765525,-87.09647445,76.87,80.13,63,31,1.01,1663264446
isro,Isle Royale National Park,Houghton,MI,48.01145819,-88.82780657,57.85,57.85,81,100,10.11,1663264446
jeca,Jewel Cave National Monument,Custer,SD,43.73102945,-103.829994,58.32,67.15,59,81,4.32,1663264446
joda,John Day Fossil Beds National Monument,Kimberly,OR,44.62566508,-119.8811491,56.86,60.33,44,99,3.49,1663264447
jomu,John Muir National Historic Site,Martinez,CA,37.9828422,-122.1326097,57.96,71.29,72,50,3,1663264447
jofl,Johnstown Flood National Memorial,South Fork,PA,40.34584534,-78.77448601,67.14,71.74,56,47,4,1663264447
jotr,Joshua Tree National Park,Twentynine Palms,CA,33.91418525,-115.8398125,80.56,84.04,38,0,3.67,1663264447
juba,Juan Bautista de Anza National Historic Trail,Richmond,CA,33.8743390994,-117.224179857,67.91,79.34,65,20,4.61,1663264448
kaho,Kaloko-Honokōhau National Historical Park,Kailua-Kona,HI,19.68083237,-156.0306932,74.43,80.74,79,3,1.01,1663264448
kaww,Katahdin Woods and Waters National Monument,Patten,ME,45.9567565918,-68.7122879028,57.74,57.74,39,8,16.71,1663264448
katm,Katmai National Park & Preserve,King Salmon,AK,58.62235668,-155.0126574,45.81,45.81,95,100,4.7,1663264449
kefj,Kenai Fjords National Park,Seward,AK,59.81804414,-150.106502,34.81,34.81,97,100,4.45,1663264449
keaq,Kenilworth Park & Aquatic Gardens,Washington,DC,38.9128,-76.9434,74.75,82.11,55,40,10.36,1663264449
kemo,Kennesaw Mountain National Battlefield Park,Kennesaw,GA,33.95370717,-84.59214186,77.49,82.54,57,20,5.75,1663264450
kewe,Keweenaw National Historical Park,Calumet,MI,47.1792308,-88.52275344,69.04,69.04,56,100,9.28,1663264450
klgo,Klondike Gold Rush National Historical Park,Skagway,AK,59.61042373,-135.2618535,34.75,34.75,91,99,8.12,1663264450
knri,Knife River Indian Villages National Historic Site,Stanton,ND,47.3540219,-101.3860533,55.76,55.76,100,100,9.22,1663264451
kova,Kobuk Valley National Park,Kotzebue,AK,67.35631336,-159.2002293,45.95,45.95,85,97,4.81,1663264451
lyba,LBJ Memorial Grove on the Potomac,Washington,DC,38.87858036,-77.05145832,75.25,82.27,55,40,10.36,1663264451
lacl,Lake Clark National Park & Preserve,Port Alsworth,AK,60.57405857,-153.55535,34.93,34.93,98,100,4.18,1663264452
lake,Lake Mead National Recreation Area,Boulder City,NV,35.96622528,-114.3469067,84.45,86.97,29,0,11.12,1663264452
lamr,Lake Meredith National Recreation Area,Fritch,TX,35.61926203,-101.6820066,82.15,87.53,52,16,10,1663264452
laro,Lake Roosevelt National Recreation Area,Coulee Dam,WA,48.17148735,-118.3513713,61.16,61.16,50,7,2.26,1663264452
lavo,Lassen Volcanic National Park,Mineral,CA,40.49354575,-121.4075993,50.47,50.47,23,2,3.78,1663264453
labe,Lava Beds National Monument,Tulelake,CA,41.75915823,-121.5172189,57.81,61.84,35,54,2.75,1663264453
lecl,Lewis & Clark National Historic Trail,Omaha,NE,41.2646141052,-95.9245147705,78.82,80.83,39,0,17.27,1663264453
lewi,Lewis and Clark National Historical Park,Astoria,OR,46.21178735,-123.9638583,59,63,80,100,1.99,1663264454
libo,Lincoln Boyhood National Memorial,Lincoln City,IN,38.11817004,-86.99656861,77.56,84.52,61,0,8.05,1663264454
liri,Little River Canyon National Preserve,Fort Payne,AL,34.41461863,-85.61734327,74.48,80.19,66,0,4.41,1663264454
lode,Lower Delaware National Wild and Scenic River,Philadelphia,PA,40.4000389,-74.983737,69.28,74.82,42,0,8.93,1663264455
maca,Mammoth Cave National Park,Mammoth Cave,KY,37.19760458,-86.13090198,79.36,82.31,47,6,9.04,1663264455
mana,Manassas National Battlefield Park,Manassas,VA,38.81710063,-77.5353468,75.31,81.46,58,75,8.05,1663264455
mabi,Marsh - Billings - Rockefeller National Historical Park,Woodstock,VT,43.63348732,-72.53424638,57.29,63.99,48,2,1.01,1663264455
meve,Mesa Verde National Park,Mesa Verde National Park,CO,37.23908345,-108.4624032,61.52,64.98,35,2,10.29,1663264456
mima,Minute Man National Historical Park,Lincoln,MA,42.4562778,-71.30738884,64.47,72.09,44,0,4,1663264456
miss,Mississippi National River and Recreation Area,Saint Paul,MN,44.942487,-93.098712,79.52,86.61,42,40,13.8,1663264166
mnrr,Missouri National Recreational River,Yankton,SD,42.7882189,-97.59077822,74.89,74.89,28,98,16.15,1663264457
moja,Mojave National Preserve,Kelso,CA,35.12485941,-115.5168258,78.66,78.66,32,0,7.74,1663264457
mono,Monocacy National Battlefield,Frederick,MD,39.36084236,-77.39637677,73.22,80.15,61,75,8.05,1663264457
moca,Montezuma Castle National Monument,Camp Verde,AZ,34.62237771,-111.8147857,78.55,86.07,33,0,6.51,1663264457
mopi,Mormon Pioneer National Historic Trail,Santa Fe,NM,41.2650321741,-101.84083756,74.32,79.43,57,0,8.05,1663264458
morr,Morristown National Historical Park,Morristown,NJ,40.7650755,-74.53455122,67.17,74.25,46,0,10.36,1663264458
mora,Mount Rainier National Park,Ashford,WA,46.86075416,-121.7043885,31.86,35.06,79,98,2.82,1663264459
muwo,Muir Woods National Monument,Mill Valley,CA,37.89658027,-122.5808047,58.37,68.67,80,41,4,1663264459
natt,Natchez Trace National Scenic Trail,Tupelo,MS,34.330290333,-88.7100104094,81.21,84.11,53,0,3,1663264459
natr,Natchez Trace Parkway,Tupelo,MS,33.78002293,-89.03092439,82.36,84.78,43,0,5.37,1663264459
npsa,National Park of American Samoa,Pago Pago,AS,-14.22865935,-169.8503777,80.33,80.33,76,71,20.76,1663264460
npnh,National Parks of New York Harbor,New York,NY,40.6632,-74.0451,68,76.08,40,20,11.99,1663264460
nabr,Natural Bridges National Monument,Lake Powell,UT,37.6045329,-110.0022436,64.67,64.67,42,1,10.54,1663264460
nava,Navajo National Monument,Shonto,AZ,36.71755643,-110.5504015,65.88,65.88,40,0,8.1,1663264461
neen,New England National Scenic Trail,Springfield,MA,42.2915819137,-72.5242767334,63.27,70.39,46,20,11.5,1663264461
neri,New River Gorge National Park and Preserve,Glen Jean,WV,37.86878554,-80.99956002,70.5,78.06,66,0,5.35,1663264461
nepe,Nez Perce National Historical Park,Lapwai,ID,46.07019093,-115.8761258,59.34,59.34,48,89,3.76,1663264462
niob,Niobrara National Scenic River,Valentine,NE,42.79413083,-99.91870646,76.08,76.86,63,91,11.52,1663264462
noat,Noatak National Preserve,Kotzebue,AK,68.01027053,-159.831694,40.64,40.64,87,98,4.85,1663264462
noca,North Cascades National Park,Sedro-Woolley,WA,48.71171756,-121.2069423,58.23,58.23,68,94,3.47,1663264463
