parkCode,Park Name,City,State,Lat,Lng,Min Temp,Max Temp,Humidity,Cloudiness,Wind Speed,Date,Country
hafo,Hagerman Fossil Beds National Monument,Hagerman,ID,42.79074114,-114.9443074,292.21,294.43,39,100,3.16,1663121515,US
hale,Haleakalā National Park,Kula,HI,20.70693015,-156.1591775,284.84,289.79,93,68,4.58,1663121515,US
hamp,Hampton National Historic Site,Towson,MD,39.4175296,-76.58781182,289.4,295.45,66,0,1.34,1663121516,US
hafe,Harpers Ferry National Historical Park,Harpers Ferry,WV,39.31865949,-77.74088546,288.24,292.66,77,0,4.02,1663121516,US
havo,Hawaiʻi Volcanoes National Park,Hawaii National Park,HI,19.3355036,-155.4700257,294.63,294.63,91,94,3.17,1663121516,US
heho,Herbert Hoover National Historic Site,West Branch,IA,41.66793558,-91.35232139,287.57,292.25,74,0,0,1663121516,US
home,Homestead National Historical Park,Beatrice,NE,40.28802381,-96.83387781,295.49,298.21,57,0,0,1663121517,US
hofu,Hopewell Furnace National Historic Site,Elverson,PA,40.20610637,-75.76766355,288.26,293.04,72,0,0,1663121517,US
hobe,Horseshoe Bend National Military Park,Daviston,AL,32.97668879,-85.73413589,289.12,292.57,69,7,1.86,1663121517,US
hosp,Hot Springs National Park,Hot Springs,AR,34.52414366,-93.06332936,289.94,295.36,61,0,2.06,1663121517,US
hove,Hovenweep National Monument,Cortez,CO,37.39134092,-109.0047977,288.75,292.92,43,84,3.43,1663121518,US
iatr,Ice Age National Scenic Trail,Cross Plains,WI,43.9895697794,-89.5612021706,286.85,291.12,62,56,2.68,1663121518,US
indu,Indiana Dunes National Park,Porter,IN,41.63765525,-87.09647445,286.53,290.16,96,0,1.27,1663121518,US
isro,Isle Royale National Park,Houghton,MI,48.01145819,-88.82780657,287.31,287.31,63,46,6.12,1663121519,US
jeca,Jewel Cave National Monument,Custer,SD,43.73102945,-103.829994,291.01,294.77,41,0,4.12,1663121519,US
joda,John Day Fossil Beds National Monument,Kimberly,OR,44.62566508,-119.8811491,290.02,293.89,51,5,3.12,1663121519,US
jomu,John Muir National Historic Site,Martinez,CA,37.9828422,-122.1326097,288.07,292.63,75,0,5.66,1663121519,US
jofl,Johnstown Flood National Memorial,South Fork,PA,40.34584534,-78.77448601,285.77,287.64,85,20,4.63,1663121520,US
jotr,Joshua Tree National Park,Twentynine Palms,CA,33.91418525,-115.8398125,299.9,303.72,52,15,4.88,1663121520,US
juba,Juan Bautista de Anza National Historic Trail,Richmond,CA,33.8743390994,-117.224179857,294.31,298.74,64,40,5.66,1663121520,US
kaho,Kaloko-Honokōhau National Historical Park,Kailua-Kona,HI,19.68083237,-156.0306932,298,302.17,70,100,4.12,1663121521,US
kaww,Katahdin Woods and Waters National Monument,Patten,ME,45.9567565918,-68.7122879028,290.72,291.33,99,96,2.34,1663121521,US
katm,Katmai National Park & Preserve,King Salmon,AK,58.62235668,-155.0126574,281.38,281.38,92,100,0.63,1663121521,US
kefj,Kenai Fjords National Park,Seward,AK,59.81804414,-150.106502,276.32,276.32,89,96,1.72,1663121521,US
keaq,Kenilworth Park & Aquatic Gardens,Washington,DC,38.9128,-76.9434,290.49,296.17,62,75,7.2,1663121522,US
kemo,Kennesaw Mountain National Battlefield Park,Kennesaw,GA,33.95370717,-84.59214186,288.57,294.01,85,0,1.03,1663121522,US
kewe,Keweenaw National Historical Park,Calumet,MI,47.1792308,-88.52275344,286.09,287.8,83,100,1.54,1663121522,US
klgo,Klondike Gold Rush National Historical Park,Skagway,AK,59.61042373,-135.2618535,275.68,276.64,76,100,10.29,1663121523,CA
knri,Knife River Indian Villages National Historic Site,Stanton,ND,47.3540219,-101.3860533,286.99,289.35,44,100,4.63,1663121523,US
kova,Kobuk Valley National Park,Kotzebue,AK,67.35631336,-159.2002293,283.4,283.4,78,93,1.61,1663121523,US
lyba,LBJ Memorial Grove on the Potomac,Washington,DC,38.87858036,-77.05145832,290.53,296.2,60,75,7.2,1663121524,US
lacl,Lake Clark National Park & Preserve,Port Alsworth,AK,60.57405857,-153.55535,274.86,274.86,98,100,0.45,1663121524,US
lake,Lake Mead National Recreation Area,Boulder City,NV,35.96622528,-114.3469067,298.69,301.29,35,72,5.08,1663121524,US
lamr,Lake Meredith National Recreation Area,Fritch,TX,35.61926203,-101.6820066,297.61,302.21,26,100,8.21,1663121524,US
laro,Lake Roosevelt National Recreation Area,Coulee Dam,WA,48.17148735,-118.3513713,291.48,292.13,46,2,1.55,1663121525,US
lavo,Lassen Volcanic National Park,Mineral,CA,40.49354575,-121.4075993,286.74,287.02,39,12,2.62,1663121525,US
labe,Lava Beds National Monument,Tulelake,CA,41.75915823,-121.5172189,292.28,295.28,30,12,3.24,1663121525,US
lecl,Lewis & Clark National Historic Trail,Omaha,NE,41.2646141052,-95.9245147705,295.66,298.48,64,0,4.63,1663121526,US
lewi,Lewis and Clark National Historical Park,Astoria,OR,46.21178735,-123.9638583,288.15,290.76,89,100,2.57,1663121526,US
libo,Lincoln Boyhood National Memorial,Lincoln City,IN,38.11817004,-86.99656861,291.22,293.06,83,0,0.32,1663121526,US
liri,Little River Canyon National Preserve,Fort Payne,AL,34.41461863,-85.61734327,287.75,290.53,62,0,1.28,1663121527,US
lode,Lower Delaware National Wild and Scenic River,Philadelphia,PA,40.4000389,-74.983737,288.21,295.03,74,0,2.06,1663121527,US
maca,Mammoth Cave National Park,Mammoth Cave,KY,37.19760458,-86.13090198,290.28,292.92,81,16,2.54,1663121527,US
mana,Manassas National Battlefield Park,Manassas,VA,38.81710063,-77.5353468,290.62,295.08,72,75,4.12,1663121528,US
mabi,Marsh - Billings - Rockefeller National Historical Park,Woodstock,VT,43.63348732,-72.53424638,289.43,291.63,97,40,3.09,1663121528,US
meve,Mesa Verde National Park,Mesa Verde National Park,CO,37.23908345,-108.4624032,287.95,289.33,59,75,2.06,1663121528,US
mima,Minute Man National Historical Park,Lincoln,MA,42.4562778,-71.30738884,292.25,296.24,89,100,2.06,1663121528,US
miss,Mississippi National River and Recreation Area,Saint Paul,MN,44.942487,-93.098712,289.55,294.51,66,0,0,1663121529,US
mnrr,Missouri National Recreational River,Yankton,SD,42.7882189,-97.59077822,295.98,297.35,50,38,4.33,1663121529,US
moja,Mojave National Preserve,Kelso,CA,35.12485941,-115.5168258,299.07,299.07,39,74,3.32,1663121529,US
mono,Monocacy National Battlefield,Frederick,MD,39.36084236,-77.39637677,289.52,294.26,75,0,4.02,1663121530,US
moca,Montezuma Castle National Monument,Camp Verde,AZ,34.62237771,-111.8147857,292.47,293.6,48,21,3.57,1663121530,US
mopi,Mormon Pioneer National Historic Trail,Santa Fe,NM,41.2650321741,-101.84083756,293.12,297.27,40,0,0,1663121530,US
morr,Morristown National Historical Park,Morristown,NJ,40.7650755,-74.53455122,288.25,296.3,73,0,2.06,1663121531,US
mora,Mount Rainier National Park,Ashford,WA,46.86075416,-121.7043885,276.61,278.5,94,96,1.37,1663121531,US
muwo,Muir Woods National Monument,Mill Valley,CA,37.89658027,-122.5808047,288.3,292.03,81,0,2.68,1663121531,US
natt,Natchez Trace National Scenic Trail,Tupelo,MS,34.330290333,-88.7100104094,293.27,295.23,68,0,0,1663121531,US
natr,Natchez Trace Parkway,Tupelo,MS,33.78002293,-89.03092439,291.13,291.36,66,0,1.88,1663121532,US
